Date,label_0,label_1,comment_count
2023-09-07,0.50037175,0.48379803,91
2023-09-08,0.50441086,0.4524669,40
2023-09-09,0.4767944,0.43769234,19
2023-09-10,0.5270661,0.5042697,52
2023-09-11,0.50130206,0.49453858,239
2023-09-12,0.5400856,0.4903751,29
2023-09-13,0.48038965,0.49142337,83
2023-09-14,0.46858048,0.4641415,89
2023-09-15,0.44979694,0.5164584,7
2023-09-16,0.58050907,0.56159985,5
2023-09-17,0.53921306,0.547645,8
2023-09-18,0.5376293,0.4421564,4
2023-09-19,0.3500674,0.31378946,1
2023-09-20,0.50889695,0.507575,173
2023-09-21,0.4850597,0.48652124,49
2023-09-22,0.4814836,0.44746652,6
2023-09-23,0.4757062,0.53471625,14
2023-09-24,0.44734666,0.44869012,23
2023-09-25,0.50290614,0.50554925,124
2023-09-26,0.49343964,0.4762943,190
2023-09-27,0.505272,0.45800686,22
2023-09-28,0.48246494,0.520176,288
2023-09-29,0.51273304,0.51720035,119
2023-09-30,0.4947389,0.5335479,23
2023-10-01,0.50606173,0.52353144,165
2023-10-02,0.5062019,0.50416666,83
2023-10-03,0.50659496,0.5032041,222
2023-10-04,0.50304157,0.5314902,57
2023-10-05,0.4910285,0.5799993,2
2023-10-06,0.496465,0.48418826,129
2023-10-07,0.47791004,0.5014779,128
2023-10-08,0.5138847,0.485231,289
2023-10-09,0.49206713,0.5001368,458
2023-10-10,0.49998787,0.50001234,559
2023-10-11,0.48460373,0.53047514,321
2023-10-12,0.48901147,0.5006924,478
2023-10-13,0.49061882,0.48608845,362
2023-10-14,0.48031873,0.4930769,316
2023-10-15,0.47872308,0.48627406,321
2023-10-16,0.48809537,0.48860398,331
2023-10-17,0.4963136,0.4868177,982
2023-10-18,0.49902114,0.49417013,1351
2023-10-19,0.49640048,0.49038145,1099
2023-10-20,0.48801062,0.482158,637
2023-10-21,0.49363905,0.49407774,693
2023-10-22,0.49982816,0.4861009,790
2023-10-23,0.4999252,0.47457144,904
2023-10-24,0.49592134,0.48274043,1020
2023-10-25,0.4976455,0.49280503,374
2023-10-26,0.50111747,0.5016982,927
2023-10-27,0.5039538,0.5025257,1592
2023-10-28,0.49797598,0.49971488,1966
2023-10-29,0.4908279,0.49538466,1787
2023-10-30,0.49565157,0.48482352,3236
2023-10-31,0.49151328,0.49151853,2978
2023-11-01,0.49519575,0.4909237,3156
2023-11-02,0.50171626,0.4905123,3916
2023-11-03,0.49703476,0.49290028,3306
2023-11-04,0.4964842,0.4946125,2318
2023-11-05,0.49777243,0.49109542,3406
2023-11-06,0.49275604,0.49196234,4645
2023-11-07,0.48151872,0.48585078,8471
