date,curiosity,excitement,surprise,desire,approval,caring,admiration,amusement,pride,realization,remorse,neutral,confusion,disapproval,joy,anger,relief,optimism,grief,fear,nervousness,love,gratitude,annoyance,disgust,sadness,embarrassment,disappointment,comment_count,Panic_Index,Euphoria_Index,Anger_Index,fear_d1,Panic_Index_d1,Euphoria_Index_d1
2022-02-24,0.06652166505269176,0.049303132081757434,0.04204410213924132,0.05223313267717924,0.042524056606241874,0.052553144193108754,0.018977870481636076,0.022729983989709893,0.02226106292607872,0.05980102092875124,0.03989365102581997,0.01610367251582161,0.06207847635270542,0.053686584767519155,0.01079144889557231,0.04557264907676197,0.01730969775980118,0.014746792217765127,0.030539232352527822,0.03547055200040252,0.0436403618130162,0.010366502057946335,0.014011454922411926,0.038950888888570546,0.02775846790551027,0.03840501777749394,0.03425149376045083,0.03747388686525737,211.0,0.043172787401689464,0.0339197124957032,0.03742733529028093,,,
2022-02-25,0.05578607022762298,0.055078649520874025,0.1344694521278143,0.04072549231350422,0.038666685856878755,0.036596592515707016,0.02274281168356538,0.03037369381636381,0.026210340205579996,0.042952276021242144,0.03553880639374256,0.01852616500109434,0.04599177986383438,0.04617867581546307,0.01471724659204483,0.038717953860759734,0.02024267744272947,0.016136484686285257,0.024802153930068016,0.017903947085142136,0.02540816441178322,0.010728361271321773,0.01794957332313061,0.05902199409902096,0.028364794328808784,0.025514639727771283,0.03613509088754654,0.03451948575675488,5.0,0.031257398426532745,0.03306491179391742,0.042034914096196495,-0.017566604915260384,-0.011915388975156718,-0.0008548007017857781
2022-02-28,0.04676203947100374,0.04086993655396832,0.03474854812439945,0.06963216192606422,0.04239929053518507,0.03346032012874881,0.01254418524654789,0.01428960682824254,0.02032100861995584,0.05210996284666988,0.037601440006660096,0.01682109879847202,0.07342271713746919,0.05989814384116066,0.00848726584162149,0.042457212383548416,0.01376728635902206,0.012621301898939744,0.03305868556102117,0.023477121825433437,0.028213027450773448,0.006775245083392494,0.010170888168633811,0.0610706682006518,0.042491108386052974,0.03607150410405464,0.05853862636205223,0.06791961358653174,3.3333333333333335,0.03729743328100691,0.03480199135115577,0.04867299632341773,0.0017301180089513458,0.003012459957972169,0.0001741106233869976
2022-03-01,0.05431573837995529,0.06503693014383316,0.039506807923316956,0.0709955245256424,0.0663435086607933,0.04310977831482887,0.018765868619084358,0.01868780516088009,0.018625210970640182,0.06601744145154953,0.03618272393941879,0.014043059200048447,0.06491483002901077,0.03703250363469124,0.008119032718241215,0.034576911479234695,0.014580327086150646,0.011949477717280388,0.019540006294846535,0.022705763578414917,0.04682198911905289,0.005972987040877342,0.010824756696820259,0.12140532582998276,0.024169789627194405,0.011358143761754036,0.035315245389938354,0.019082466140389442,1.0,0.03568574506789446,0.04448889475315809,0.06005067564547062,-0.00038853753358125687,-0.004609033232554793,0.01090165108907968
2022-03-02,0.04162103682756424,0.019559701904654503,0.03277924656867981,0.045193299651145935,0.019756322726607323,0.0309725534170866,0.012402639724314213,0.02480103075504303,0.01755654811859131,0.04964304342865944,0.046482425183057785,0.014305074699223042,0.05283798277378082,0.08883143961429596,0.011761002242565155,0.04629526659846306,0.023375529795885086,0.0103834867477417,0.038051728159189224,0.02006322331726551,0.025001347064971924,0.012794595211744308,0.014134841971099377,0.08041952550411224,0.041488874703645706,0.02659733220934868,0.07968387007713318,0.07320693135261536,1.0,0.045094608794897795,0.021330762654542923,0.056067888935407005,-0.0026425402611494064,0.009408863727003336,-0.02315813209861517
2022-03-07,0.08273181025180276,0.06015098637349351,0.033378798290397284,0.05029357562738437,0.04365138753955425,0.04568578692636004,0.027976271043169413,0.026993135908722054,0.034608361841593355,0.05769630556029302,0.03713116004925083,0.01576522655819577,0.06796564903386214,0.07022762878504754,0.01905507316459315,0.049017917761510175,0.017735086295201822,0.016064684704394528,0.024042902423793245,0.02123379071795002,0.025570471486490637,0.011010205666362136,0.01393143019285398,0.03609129071183917,0.025133645008921762,0.02205600984894705,0.032001142079631485,0.03280029897427152,7.666666666666667,0.03854076275968476,0.03784314148188396,0.036747617827423695,-0.0010351050489892568,-0.003956222819397226,0.005663332525485505
2022-03-10,0.039009034633636475,0.015886303037405014,0.029469795525074005,0.035018954426050186,0.014878134243190289,0.02781827002763748,0.009892499074339867,0.02703283540904522,0.01611715368926525,0.04133680462837219,0.047252994030714035,0.013662835583090782,0.052929699420928955,0.0999843031167984,0.010881688445806503,0.04388759285211563,0.02138518914580345,0.00864831730723381,0.03607896342873573,0.017781013622879982,0.022987529635429382,0.01206874381750822,0.012155655771493912,0.09898211807012558,0.04607473313808441,0.027520962059497833,0.09213964641094208,0.07911821454763412,1.0,0.04700146010145545,0.017062679491937162,0.06298148135344188,0.0008231054525822401,0.013775519764749333,-0.021258080739062275
2022-03-14,0.08852353040128946,0.07489883444375461,0.07859767745766374,0.04677830305364397,0.0422897156741884,0.05798037702010738,0.0315852691936824,0.10425123975922664,0.038898511272337705,0.059967406301034816,0.02825593762099743,0.017539188783201907,0.038234147450162306,0.026188265014853742,0.033639670039216675,0.02380678890686896,0.030564037151634693,0.024243223739580974,0.012957316047201553,0.013076352990335887,0.017470019559065502,0.019226175939871203,0.02161351161905461,0.023577981576737433,0.013291256967931986,0.009081700454569526,0.01562706965746151,0.00783655815757811,2.0,0.021247643796313137,0.04436994939007693,0.020225342483846127,-0.0037659090012311935,-0.011165712727233768,0.0043396745497981705
2022-03-15,0.046728278417140244,0.07160662026144564,0.028774978686124088,0.03977711191400886,0.13937507455702872,0.0520142805762589,0.04102344666607678,0.020516034122556447,0.04310280689969659,0.05096608372405172,0.026159858936443924,0.015531241684220732,0.04483778453432023,0.0449652403825894,0.022697384434286504,0.03249526573345065,0.017198391165584324,0.02929733881028369,0.01755198072642088,0.01191749710123986,0.025976540893316268,0.010447232727892697,0.014837656251620502,0.03232444925233722,0.033366636652499435,0.02072509853169322,0.03393354997970164,0.03185214149998501,10.0,0.027254784328397362,0.06055070599541068,0.0327287838794291,0.005434210482053458,0.013750462408643215,0.030469002854079007
2022-03-16,0.030773214297369123,0.02092883369186893,0.020907636266201735,0.040786087163724005,0.10377673478797078,0.0421815785812214,0.024057890434050933,0.010868098645005375,0.022274843940977007,0.03894496173597872,0.03742792992852628,0.014758920355234295,0.053750340826809406,0.058984540388337336,0.011011092545231804,0.03821876239089761,0.016597670648479834,0.011372100067092106,0.03822782708448358,0.018097410153131932,0.016202605213038623,0.01031720764876809,0.05906250074622221,0.054330545506672934,0.038664342122501694,0.044850990758277476,0.046738047851249576,0.07588728156406432,8.0,0.032678121420758544,0.03757496965117753,0.04373788334002408,0.006179913051892073,0.0054233370923611815,-0.022975736344233152
