Date,confusion,neutral,disapproval,annoyance,approval,joy,realization,disappointment,nervousness,curiosity,anger,fear,optimism,relief,excitement,caring,disgust,sadness,embarrassment,surprise,amusement,desire,admiration,love,pride,gratitude,grief,remorse
2023-09-07,0.06478957747426498,0.5518003410076374,0.053145179037608535,0.027315692405554128,0.08560508905377771,0.007217928513585191,0.026862958727588693,0.015104834564736339,0.0016825932140748661,0.08824253512020633,0.014182098433093916,0.0030112709942181686,0.019886447700088496,0.0015752036127666073,0.004705456206076113,0.0048337668637171965,0.004701292859953265,0.023087010235950393,0.005829243861736249,0.0049999914580449506,0.040925327534940874,0.004216065627118511,0.04516103733292586,0.019545288063754624,0.0015758485641237093,0.011229866191170404,0.0011894575191935483,0.019084633121095537
2023-09-08,0.09249426069145557,0.516753540514037,0.061006371199619026,0.03292504189303145,0.09470142401987687,0.0065687868933309804,0.027874795615207403,0.01370388373034075,0.0020844436634433806,0.0663738956922316,0.005963323780451901,0.00687240146289696,0.025414976602769458,0.0014251714765123324,0.015105491606664145,0.020557330630981595,0.003822657083219383,0.026262389288604027,0.002117374852969078,0.012498637747921749,0.012579885014565662,0.004987875078222714,0.04296746889012866,0.04937506506612408,0.0009016603733471129,0.0014876202971208841,0.0013296329638251337,0.017890070324028784
2023-09-09,0.018516794177948645,0.4042342073823276,0.0323419835982158,0.16373796069896535,0.04568314204286588,0.0428233358558684,0.022913523018360138,0.01920075508716859,0.0014923980052117258,0.06430115307509703,0.12421621104065132,0.004730054860517971,0.04195132323442713,0.003629280153147288,0.0035681889367927063,0.008321288495177501,0.008977827652798672,0.05378790478540683,0.0028520101362741307,0.033348983121533435,0.05030299298232421,0.005049469157759296,0.006464500047609602,0.0019357170156007143,0.0011804596808935074,0.0013229000285623204,0.002075427966988891,0.001597133065316532
2023-09-10,0.022050697622874465,0.6302847481117799,0.03364381018820076,0.025069008984316427,0.07324381986221012,0.005302446109663623,0.039983990718610585,0.009285612328452632,0.0024846723417095537,0.016823810149127476,0.02475333016123981,0.01997388077199083,0.005346186727715226,0.0012776927105733193,0.012015528825241536,0.01886894498714425,0.016050497308382407,0.004160331208437968,0.002537741650974987,0.045537625176411196,0.03268967949239036,0.0016504287318989204,0.051481057468873374,0.016401892206116687,0.0009245772947066983,0.0019288016908551352,0.0008153243820393422,0.0008692416511341714
2023-09-11,0.04610996833217241,0.44842783678089226,0.05335957409763342,0.06037389580793601,0.08001249305568792,0.005197877462546119,0.04304525191276081,0.03363592436008163,0.00623488220776856,0.04613025340195122,0.04135094080268888,0.034170570287577785,0.03404733233707158,0.0022498634016111098,0.009298714733376678,0.011774041469644357,0.030855051216486233,0.08136522477233557,0.0044310779948733454,0.024076031565166443,0.008868448907766632,0.0075742436493026035,0.022618097521775796,0.0028677949109299802,0.0011085591050462552,0.010942642877042044,0.0036593251815966866,0.011204642217745614
2023-09-12,0.07348405692429313,0.5149376651207949,0.022866805947128813,0.05149136596070281,0.033934728676003625,0.004614300021283521,0.021634256338764882,0.040467280962761365,0.002101327529466101,0.08418866751739627,0.05858573010632897,0.011805091946433973,0.007562009730087272,0.0016296213474686675,0.010007389371508154,0.007402525225188583,0.013805543327431098,0.021241793517376584,0.002995703006082953,0.03385222093844465,0.0035573266595120318,0.0022706173858123607,0.007913610295810062,0.03445135237115178,0.0007789268478016561,0.03188252322383803,0.001570872227853999,0.0011405169096743238
2023-09-13,0.05297907434701246,0.5062746190724065,0.0705377020331728,0.09533162424004221,0.08458571126179612,0.006440823933485536,0.03772166480467352,0.022908647764889323,0.0013844949215740324,0.0491647994849152,0.052073334417016955,0.01172732190069103,0.01539577816960862,0.00291212097705196,0.003734820969094219,0.005025300700834627,0.01829555467562189,0.01733306543382603,0.004267135336967073,0.013094874866466677,0.012991060220905725,0.020208372055631446,0.01867683089607541,0.0027995505717341752,0.0038088684559186795,0.015746910378010102,0.001166068650578732,0.001228515213041241
2023-09-14,0.05551203694246877,0.3238592834389779,0.15597665134367397,0.11997134913428781,0.13692006431101414,0.01077796805099312,0.033560171864633816,0.0220036809515794,0.001794783808905736,0.06458183117223945,0.05542528457950089,0.011799108188303731,0.018541943149777192,0.0015400330046534518,0.0031027652805911774,0.013669840637672943,0.033916406687924616,0.008371238807985413,0.004521484082902185,0.003824408829285439,0.03701651973775431,0.0067489283895800205,0.03765992371475303,0.02587282927405989,0.0010490475378697084,0.03236252059033494,0.0007935136424513596,0.009890345882871607
2023-09-15,0.002985457457335932,0.4722798912386809,0.007103064097464085,0.006901703242744718,0.044012936763465405,0.06703878154179879,0.009489634539932013,0.004862889148561018,0.0008521476556779817,0.001931404511976455,0.0022018638140122804,0.001175449013576976,0.007795269700831601,0.004439050560384723,0.004834629162879927,0.06313550537951025,0.0016897422111859278,0.003780283432986055,0.0008336265579730805,0.0015683551069482096,0.09999117558722251,0.0022308698971755803,0.2768071444838175,0.05844906098874552,0.0018012253858614713,0.0129874265320333,0.0008094352961052209,0.0016421051051500918
2023-09-16,0.15193430269137026,0.6508571326732635,0.007932390598580242,0.04183354303240776,0.024969065189361574,0.0011278501362539828,0.031225495412945746,0.004566741222515702,0.0007323427504161373,0.20057700173929333,0.005707627208903432,0.0015945318969897925,0.004221571004018187,0.00033117048151325433,0.0018034138774964958,0.001689048740081489,0.0026044041384011506,0.0017641882877796888,0.0010966376401484012,0.0072364302759524435,0.002220170712098479,0.0013414560235105455,0.001837471837643534,0.0013065178354736418,0.00019094521121587604,0.0006615678314119578,0.00036892218631692233,0.00044401061022654177
2023-09-17,0.011944912155740894,0.7387549318373203,0.014175486139720306,0.026836781500605866,0.03513294272124767,0.0025201346070389263,0.029401489766314626,0.016142399079399183,0.004111154379643267,0.003308891085907817,0.01258557085384382,0.09250849912496051,0.003850106237223372,0.0011208142204850446,0.0027603782200458227,0.005410998193838168,0.0073353805200895295,0.04024801548803225,0.0020373130464577116,0.0020885430167254526,0.0033934181119548157,0.004283342692360748,0.0038054775577620603,0.002956837401143275,0.0006224797434697393,0.0009723804978420958,0.0016956186555034947,0.0012629943739739247
2023-09-18,0.00395648367702961,0.402549859136343,0.10690380213782191,0.10672839172184467,0.02534338040277362,0.21238475723657757,0.01095982559490949,0.07923856255365536,0.0008268233723356389,0.0018808628374245018,0.0078988530440256,0.0010364393165218644,0.003225095948437229,0.0038741350290365517,0.004613746117684059,0.0035071636084467173,0.009002216378576122,0.004142419784329832,0.004296989252907224,0.0012011005455860868,0.14368502679280937,0.0013744537282036617,0.0077186363050714135,0.0027287669508950785,0.0009938132570823655,0.0019700697594089434,0.0005576221956289373,0.0008102154824882746
2023-09-19,0.17593836784362793,0.42891088128089905,0.10139233618974686,0.04146292433142662,0.01620844379067421,0.0006073383265174925,0.014229681342840195,0.053984299302101135,0.0014998356346040964,0.2799520492553711,0.0037574535235762596,0.00285774446092546,0.002078098012134433,0.00035557959927245975,0.0019678007811307907,0.0008934719953685999,0.013039358891546726,0.006364770699292421,0.0058705066330730915,0.01628017984330654,0.0015115243149921298,0.0013752280501648784,0.004069298971444368,0.0009603945072740316,0.0001515133335487917,0.0002156169357476756,0.0008008280419744551,0.0007817671867087483
2023-09-20,0.04464120046044511,0.4493383190128952,0.039345403671576885,0.05063232092854346,0.07856973635188891,0.03196438794536381,0.023925096633698725,0.020677839384974125,0.0016114199624902897,0.04393135885539131,0.017392132245206054,0.012066401138489884,0.008317194333989066,0.0017694719007906284,0.008598498460053429,0.007011013995113142,0.005820504451612,0.014113893978549383,0.0025478790040939477,0.0081492789993749,0.14813308602177425,0.002081599416590775,0.0863099846540751,0.05085565172562462,0.0012672283695992204,0.024233990736646213,0.0009361795519681841,0.006416206334659028
2023-09-21,0.06432970401199002,0.5321903774628833,0.06603138998141322,0.07569416905563249,0.08695184325381201,0.004835369696184917,0.037490019451218604,0.02532798640087855,0.0017113874764989453,0.07412331600492934,0.012478001544023959,0.003623170523942277,0.009799165368479277,0.0014220220431785233,0.0042454233222013835,0.00871198828455669,0.009047903786936052,0.018871802824777455,0.005118286455102379,0.015363927124892552,0.013342042973298314,0.0022684863663981762,0.004269396080825554,0.03606160477068684,0.0005952202787293758,0.001232350134048421,0.0010870407963271386,0.028025610366484568
2023-09-22,0.06212375538113216,0.5733714054028193,0.12204165135820706,0.021227382045860093,0.042146622048070036,0.001711226490442641,0.02274606260471046,0.008793979533948004,0.01168306341181354,0.09434085279159869,0.0031941081009184322,0.122034964345706,0.008797089123011878,0.0008960140063815439,0.0021832182101206854,0.003963513716977711,0.0033365095926759145,0.0035464114043861628,0.0014050401805434376,0.0026134034463514886,0.0018926202416575204,0.0018295390764251351,0.03034570429008454,0.0011501844855956733,0.00044481900355701026,0.000921897687173138,0.0006758853996871039,0.0005873925062284494
2023-09-23,0.0362856641711135,0.6430894282114293,0.01623190179400678,0.011656272092035838,0.06658801070547529,0.0025525726835309926,0.0131612160309617,0.013035028965012836,0.005902075241985065,0.04696603711428387,0.003254273606996451,0.04459201414803309,0.04082986551137375,0.0007419072748494468,0.0030864398244635333,0.0048853803143304375,0.003991407466985818,0.038667094769022824,0.0013549987654966702,0.0030925446148363073,0.003032859298400581,0.0108056982488571,0.13841954440743262,0.0033038021938409656,0.0007931730589396986,0.001971764350725737,0.0018150391738994845,0.001824766387081971
2023-09-24,0.08517533103915174,0.45805148383521516,0.08572929916376977,0.06683483431318207,0.08000798385752284,0.010845314796113045,0.031417341619406056,0.022015275661428663,0.003474252913450903,0.06660798638957836,0.014646430208813399,0.0236079096591667,0.010966327274218202,0.001590850250542407,0.005394055668780904,0.003677531950297239,0.009273451064591822,0.009268703865413756,0.003477085028071483,0.03901749485141962,0.0805483500716155,0.002100940216737597,0.05416672914693861,0.0025423807142626333,0.0009385841761325972,0.0017991190100513884,0.0008641951110052025,0.02363553465060566
2023-09-25,0.020834036809608204,0.5083206627563003,0.02446462109500933,0.06034744729103911,0.08289476057829996,0.021516119261861838,0.027655813518175556,0.012852759562402723,0.0023482799947340672,0.04681309617937528,0.037584315850718635,0.017859245768997955,0.007672001660290745,0.0028519108159783964,0.034994441885388486,0.01178003851166596,0.007151200458118241,0.013151283827967071,0.0025064733167856766,0.024487982254340162,0.04067545143357899,0.010542193511707498,0.022399918171070187,0.04453448867430017,0.0014279214907630025,0.012433760491295553,0.0009483376988716754,0.0028577809836508915
2023-09-26,0.020199428799586666,0.5465204120711669,0.0397760980422486,0.06390893821555534,0.04283577143092101,0.018548945699646872,0.03453800360132989,0.026396954157634784,0.002189443567400112,0.02540801097960579,0.03711729810686512,0.01803736196980983,0.012870848379220421,0.0015227168742536666,0.015627876190793408,0.0074828826983177445,0.0134352670403467,0.016288194198645405,0.004152881573367937,0.016480708069866522,0.0712323097986978,0.0033981191804693814,0.045266707473446764,0.026494646777159927,0.0017053296070355971,0.0016358523189984751,0.0009263674905493022,0.001323935272950238
2023-09-27,0.015051211055833846,0.5656348927454515,0.05161136680875312,0.09492406505160034,0.06844996222802861,0.004724161326356063,0.014706067328171974,0.019255833779673347,0.008033609254529107,0.03350539111521688,0.03515014874177392,0.045748642430143344,0.044776089817539534,0.0008092449034765278,0.002868571829325943,0.0027917156562166797,0.012365175321147863,0.010020298846277663,0.003726534389319237,0.0024177122660065916,0.04363712385317988,0.005299063735451041,0.008420646087457002,0.001913468455313705,0.0006379632111268372,0.0015495957830518653,0.0010150957056215373,0.0009242068865040147
2023-09-28,0.03862272002233011,0.5430112052336982,0.03719104380272458,0.07412378782222125,0.04769255645159218,0.011468543611145934,0.02258606870357956,0.02331175114482499,0.0012649059310408323,0.05266241815651382,0.043791456698980054,0.003919380178255476,0.013115596083581395,0.0011966054875958637,0.005257323326885752,0.006708918933226313,0.008889545016750667,0.023768429332550214,0.006475333430797845,0.015656488153985668,0.07398756755032486,0.007585600739629526,0.038522312566379294,0.01561663407665037,0.0008677910666771519,0.007377491855853198,0.0010683001076661942,0.0012970934804393942
2023-09-29,0.03206425889575181,0.5967410923834858,0.027011351294995545,0.04959937906824052,0.04018972402422869,0.010244285647694742,0.025797030667406545,0.02841688467369673,0.002838652999680333,0.04445181389098611,0.02350677770172136,0.01282538112547413,0.013167840989204828,0.0011250431613435091,0.007439816345415712,0.0062439191192310275,0.00862436496237872,0.05021648493325416,0.004445393434275693,0.009579031282846089,0.07001762678494536,0.0028900078472391772,0.03137333009307891,0.012075613964028155,0.0007888676202831548,0.0015244650759170723,0.002249177813724646,0.0014416954902973136
